QueryNumber;QueryText
00083;['BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGE', 'POLYMORPHONUCLEAR', 'LEUKOCYTE', 'DISEASE']
00084;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA']
00085;['DEVELOP', 'INFECTION', 'ORGAN', 'ORGAN']
00086;['BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'DISEASE']
00087;['FUNGI', 'PATHOGENESIS', 'DISEASE']
00088;['VIRAL', 'INFECTION', 'DISEASE']
00089;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'SPECIFICALLY', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'INDIVIDUAL', 'FAMILY']
00090;['FACTOR', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAIN', 'PSEUDOMONAS', 'AERUGINOSA']
00091;['UNUSUAL', 'MANIFESTATION', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY']
00092;['PROGNOSIS', 'SURVIVAL']
00094;['ANIMAL', 'MODEL', 'AVAILABLE', 'RELEVANT']
00095;['ABNORMALITY', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND']
00096;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEM', 'CARIES', 'PERIODONTAL', 'DISEASE']
00097;['OXYGEN', 'TRANSPORT', 'BLOOD', 'ABNORMAL']
00098;['EFFECT', 'DEVELOPMENT', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM']
00099;['ABNORMALITY', 'TASTE']
00100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY']
