QueryNumber;QueryText
00037;['TECHNIQUES', 'AVAILABLE', 'SCREENING', 'NEWBORN', 'INFANTS', 'FACTORS', 'CONTRIBUTE', 'ERRONEOUS', 'RESULTS', 'TESTS']
00038;['DIAGNOSED', 'PRENATALLY']
00039;['HETEROZYGOTES', 'IDENTIFIED']
00040;['SWEAT', 'TECHNIQUES', 'USEFUL', 'BEYOND', 'NEONATAL', 'PERIOD', 'DIAGNOSIS']
00041;['VITAMIN', 'METABOLISM', 'NORMAL']
00042;['ABNORMALITIES', 'INSULIN', 'SECRETION', 'INSULIN', 'METABOLISM', 'OCCUR']
00043;['SODIUM', 'CHLORIDE', 'TRANSPORT', 'PERMEABILITY', 'ABNORMAL']
00044;['STRUCTURAL', 'ENZYMATIC', 'DIFFERENCES', 'FIBROBLASTS']
00045;['ABNORMALITIES', 'PROSTAGLANDIN', 'METABOLISM', 'DESCRIBED']
00046;['PROPERTIES', 'ACTIVITY', 'GALACTOSYLTRANSFERASE', 'ENZYMES']
00047;['DIFFERENCES', 'NORMAL', 'SUBJECTS', 'DESCRIBED', 'FUNCTION', 'METABOLISM', 'HORMONES']
00048;['FIBROBLASTS', 'NORMAL']
00049;['METHYLATION', 'POLYAMINE', 'METABOLISM', 'NORMAL']
00050;['DEFECTS', 'SYNTHESIS', 'METABOLISM', 'CYCLIC', 'NUCLEOTIDES', 'DESCRIBED']
00051;['CIRCULATING', 'SECRETED', 'FACTORS', 'DESCRIBED', 'FACTORS', 'UNIDENTIFIED', 'BIOLOGICALLY', 'ACTIVE', 'MOLECULES', 'THOUGHT', 'PATHOGENETIC', 'CYSTIC', 'FIBROSIS']
00052;['KNOWN', 'PROLACTIN']
00053;['SECRETORY', 'PROTECT', 'BACTERIAL', 'COLONIZATION', 'INFECTION']
00054;['RELATIONSHIP', 'ALLERGY', 'HYPERSENSITIVITY', 'DISEASE']
00055;['INTERACTIONS', 'PROTEASES', 'ENDOGENOUS', 'BACTERIAL', 'ORIGIN', 'ANTIPROTEASES', 'LUNGS']
00056;['RELATIONSHIP', 'NUTRITION', 'PULMONARY', 'DEFENSES', 'BACTERIAL', 'INFECTION']
00057;['PATHOPHYSIOLOGIC', 'CIRCULATING', 'ANTIBODIES', 'PSEUDOMONAS', 'AERUGINOSA']
00058;['IMMUNOLOGIC', 'RESPONSE', 'PULMONARY', 'INFECTION']
00059;['IMMUNOLOGIC', 'ABNORMALITIES', 'FOUND']
00060;['EFFECTS', 'PULMONARY', 'CIRCULATION']
00061;['DEFECT', 'MUCOCILIARY', 'TRANSPORT', 'CLEARANCE', 'RESPIRATORY', 'TRACT']
00062;['CLINICAL', 'FEATURES', 'DISEASE']
00063;['BIOCHEMICAL', 'MICROSCOPIC', 'CHARACTERISTICS', 'AIRWAY', 'INFLAMMATION']
00064;['FUNCTION', 'CHANGE', 'PERIODS', 'GREATER']
00065;['ABNORMALITIES', 'PULMONARY', 'FUNCTION']
00066;['PATHOLOGIC', 'FEATURES', 'DISEASE']
00067;['PROGNOSIS', 'EPISODE', 'RESPIRATORY', 'FAILURE']
00068;['EFFECTS', 'BRONCHODILATORS']
00069;['TREAT', 'PNEUMOTHORAX']
00070;['TREATMENT', 'PROGNOSIS', 'HEMOPTYSIS']
00071;['PROGNOSIS', 'INFANTS', 'WHEEZING', 'CYSTIC', 'FIBROSIS']
00072;['TREATMENT', 'NASAL', 'POLYPS']
00073;['EFFECTIVE', 'BRONCHIAL', 'LAVAGE']
00074;['RESULTS', 'MECHANICAL', 'VENTILATION', 'RESPIRATORY', 'FAILURE']
00075;['TREATMENT', 'PULMONARY', 'HYPERTENSION', 'PULMONALE']
00076;['EFFECTS', 'EXERCISE', 'TRAINING', 'PROGRAMS', 'FUNCTION']
00077;['TECHNIQUES', 'EFFECTIVE', 'PROMOTING', 'CLEARANCE', 'MUCUS', 'LUNGS']
00078;['SPECIAL', 'CONSIDERATIONS', 'TREATMENT', 'ANTIBIOTICS', 'PHARMACODYNAMICS', 'ANTIBIOTICS', 'DIFFERENT', 'SPECIAL', 'PROBLEMS', 'PECULIAR']
00079;['ORALLY', 'ADMINISTERED', 'ANTIBIOTICS', 'TREATMENT']
00080;['EVIDENCE', 'COMBINATION', 'THERAPY', 'AMINOGLYCOSIDES', 'SEMISYNTHETIC', 'PENICILLINS', 'EFFECTIVE', 'THERAPY', 'EITHER', 'ALONE']
00081;['EFFECTIVE', 'INHALATIONS', 'MUCOLYTIC', 'AGENTS', 'TREATMENT']
00082;['AEROSOLS', 'TREATMENT', 'DISEASE']
00083;['BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGES', 'POLYMORPHONUCLEAR', 'LEUKOCYTES', 'DISEASE']
00084;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA']
00085;['DEVELOP', 'INFECTION', 'ORGANS', 'ORGANS']
00086;['BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'DISEASE']
00087;['FUNGI', 'PATHOGENESIS', 'DISEASE']
00088;['VIRAL', 'INFECTION', 'DISEASE']
00089;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'SPECIFICALLY', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'INDIVIDUALS', 'FAMILY']
00090;['FACTORS', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAINS', 'PSEUDOMONAS', 'AERUGINOSA']
00091;['UNUSUAL', 'MANIFESTATIONS', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY']
00092;['PROGNOSIS', 'SURVIVAL']
00094;['ANIMAL', 'MODELS', 'AVAILABLE', 'RELEVANT']
00095;['ABNORMALITIES', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND']
00096;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEMS', 'CARIES', 'PERIODONTAL', 'DISEASE']
00097;['OXYGEN', 'TRANSPORT', 'BLOOD', 'CELLS', 'ABNORMAL']
00098;['EFFECTS', 'DEVELOPMENT', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM']
00099;['ABNORMALITIES', 'TASTE']
00100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY']
