QueryNumber;DocVotes;DocNumber
00008;1;771
00008;1;867
00008;1;875
00008;1;944
00008;6;1125
00009;6;165
00009;1;174
00009;1;362
00009;1;370
00009;8;414
00009;1;443
00009;4;794
00009;2;992
00009;1;1040
00009;3;1115
00010;6;30
00010;2;126
00010;8;157
00010;5;170
00010;6;296
00010;1;301
00010;1;322
00010;2;370
00010;8;413
00010;4;443
00010;8;581
00010;7;676
00010;1;715
00010;1;722
00010;3;728
00010;1;758
00010;2;782
00010;1;835
00010;7;878
00010;1;941
00010;7;1115
00010;1;1215
00010;7;1218
00010;1;1234
00010;3;1239
00011;1;36
00011;1;46
00011;5;96
00011;1;186
00011;1;301
00011;3;428
00011;4;518
00011;1;649
00011;1;652
00011;1;659
00011;2;772
00011;8;796
00011;7;798
00011;1;799
00011;1;835
00011;1;837
00011;1;908
00011;8;909
00011;8;991
00011;1;1119
00011;1;1178
00011;2;1226
00012;7;70
00012;1;181
00012;5;443
00012;6;466
00012;1;755
00012;1;918
00012;1;1115
00013;6;156
00013;5;301
00013;8;314
00013;5;322
00013;1;370
00013;4;443
00013;2;462
00013;1;522
00013;1;643
00013;5;695
00013;1;715
00013;1;719
00013;1;722
00013;2;763
00013;1;764
00013;6;791
00013;1;822
00013;1;900
00013;3;902
00013;1;978
00013;1;1017
00013;1;1033
00013;1;1097
00013;2;1124
00014;2;5
00014;1;89
00014;1;92
00014;7;131
00014;1;135
00014;8;150
00014;1;156
00014;1;203
00014;1;232
00014;6;233
00014;5;234
00014;1;291
00014;1;297
00014;1;314
00014;1;319
00014;6;344
00014;5;345
00014;1;356
00014;5;367
00014;3;370
00014;1;379
00014;6;405
00014;1;413
00014;5;417
00014;2;419
00014;1;421
00014;1;424
00014;7;462
00014;4;465
00014;1;492
00014;2;584
00014;3;602
00014;5;616
00014;7;635
00014;1;662
00014;1;695
00014;2;719
00014;4;777
00014;7;791
00014;1;809
00014;8;815
00014;8;852
00014;1;889
00014;8;899
00014;2;930
00014;3;941
00014;1;1000
00014;6;1008
00014;2;1013
00014;8;1100
00014;6;1117
00014;7;1124
00014;3;1135
00014;1;1206
00014;2;1234
00015;1;17
00015;7;59
00015;1;63
00015;1;72
00015;1;91
00015;1;95
00015;1;97
00015;1;98
00015;6;99
00015;1;135
00015;3;149
00015;6;174
00015;2;197
00015;8;204
00015;7;205
00015;2;226
00015;1;232
00015;1;238
00015;8;266
00015;1;297
00015;7;301
00015;7;322
00015;7;339
00015;1;350
00015;1;354
00015;6;355
00015;5;364
00015;5;370
00015;8;385
00015;2;398
00015;1;408
00015;4;410
00015;1;413
00015;1;414
00015;1;420
00015;8;422
00015;7;423
00015;1;424
00015;1;426
00015;1;434
00015;8;443
00015;4;474
00015;6;545
00015;6;549
00015;1;550
00015;7;601
00015;2;603
00015;1;611
00015;2;642
00015;1;643
00015;1;657
00015;1;673
00015;6;690
00015;7;700
00015;8;720
00015;6;722
00015;1;724
00015;2;725
00015;1;729
00015;1;731
00015;1;735
00015;2;747
00015;7;752
00015;4;763
00015;2;764
00015;1;767
00015;1;792
00015;1;794
00015;1;816
00015;2;822
00015;1;833
00015;1;837
00015;2;844
00015;1;853
00015;3;854
00015;1;857
00015;2;863
00015;8;870
00015;1;875
00015;1;888
00015;1;889
00015;2;900
00015;3;944
00015;2;990
00015;1;993
00015;6;994
00015;3;1000
00015;2;1013
00015;2;1016
00015;1;1027
00015;1;1033
00015;2;1040
00015;1;1093
00015;2;1098
00015;2;1115
00015;3;1162
00015;8;1184
00015;1;1187
00015;8;1192
00015;1;1195
00015;2;1226
00015;1;1232
00015;1;1234
00015;6;1235
00016;1;5
00016;1;10
00016;1;17
00016;1;36
00016;2;41
00016;4;46
00016;2;69
00016;1;72
00016;8;89
00016;1;92
00016;8;95
00016;1;97
00016;1;98
00016;1;126
00016;5;129
00016;1;130
00016;1;132
00016;1;134
00016;3;135
00016;1;148
00016;1;150
00016;1;168
00016;3;181
00016;8;182
00016;7;186
00016;1;189
00016;1;197
00016;1;202
00016;1;205
00016;1;212
00016;1;225
00016;2;226
00016;2;238
00016;5;240
00016;1;255
00016;1;288
00016;1;290
00016;1;292
00016;1;297
00016;2;298
00016;8;301
00016;5;314
00016;1;320
00016;6;322
00016;1;330
00016;1;331
00016;2;333
00016;2;350
00016;1;357
00016;3;359
00016;6;364
00016;6;370
00016;6;376
00016;1;386
00016;8;396
00016;2;398
00016;1;413
00016;1;421
00016;4;424
00016;3;428
00016;1;434
00016;8;443
00016;1;462
00016;7;466
00016;6;468
00016;1;472
00016;1;473
00016;7;475
00016;2;478
00016;1;489
00016;1;490
00016;1;510
00016;1;512
00016;3;518
00016;4;522
00016;3;550
00016;1;553
00016;1;559
00016;1;581
00016;2;582
00016;1;586
00016;6;594
00016;1;615
00016;1;616
00016;4;641
00016;4;642
00016;2;643
00016;7;649
00016;1;656
00016;2;657
00016;2;658
00016;7;659
00016;2;660
00016;2;662
00016;1;673
00016;2;676
00016;1;708
00016;1;709
00016;1;711
00016;1;715
00016;2;719
00016;6;722
00016;1;723
00016;1;724
00016;1;725
00016;7;727
00016;1;729
00016;1;730
00016;2;731
00016;1;735
00016;3;755
00016;4;756
00016;1;758
00016;1;762
00016;4;763
00016;2;764
00016;1;767
00016;2;770
00016;7;772
00016;1;783
00016;2;791
00016;1;797
00016;8;799
00016;1;809
00016;1;810
00016;2;816
00016;2;822
00016;8;834
00016;1;835
00016;1;837
00016;2;844
00016;1;867
00016;1;870
00016;5;872
00016;1;875
00016;2;882
00016;2;888
00016;2;889
00016;1;893
00016;1;896
00016;5;901
00016;2;902
00016;1;919
00016;1;928
00016;1;932
00016;4;935
00016;2;937
00016;1;938
00016;1;941
00016;2;943
00016;2;944
00016;1;970
00016;1;974
00016;2;984
00016;1;990
00016;1;991
00016;6;993
00016;1;994
00016;3;1000
00016;2;1002
00016;3;1016
00016;6;1017
00016;2;1023
00016;1;1033
00016;1;1037
00016;1;1051
00016;1;1066
00016;1;1076
00016;2;1080
00016;2;1098
00016;2;1101
00016;2;1115
00016;1;1135
00016;4;1154
00016;1;1158
00016;1;1189
00016;4;1192
00016;5;1226
00016;1;1232
00016;2;1234
00017;7;49
00017;5;89
00017;1;101
00017;1;128
00017;1;132
00017;1;135
00017;2;153
00017;1;189
00017;1;233
00017;1;238
00017;1;297
00017;1;298
00017;2;301
00017;1;330
00017;1;333
00017;4;357
00017;4;359
00017;3;370
00017;3;428
00017;2;443
00017;1;450
00017;1;506
00017;2;643
00017;1;660
00017;5;662
00017;7;688
00017;1;722
00017;1;729
00017;2;730
00017;2;731
00017;2;735
00017;6;791
00017;6;810
00017;3;816
00017;1;837
00017;1;839
00017;1;845
00017;2;882
00017;2;889
00017;1;897
00017;1;937
00017;1;938
00017;2;941
00017;2;944
00017;1;1000
00017;1;1023
00017;1;1040
00017;1;1069
00017;1;1080
00017;2;1088
00017;7;1101
00017;4;1103
00017;1;1115
00017;1;1187
00017;1;1234
00018;7;129
00018;1;153
00018;5;205
00018;2;226
00018;1;364
00018;2;370
00018;2;414
00018;3;424
00018;1;443
00018;1;642
00018;2;656
00018;2;657
00018;2;658
00018;2;660
00018;3;725
00018;1;816
00018;2;935
00018;3;993
00018;1;994
00018;4;1016
00018;2;1162
00019;6;21
00019;1;49
00019;3;359
00019;2;370
00019;1;398
00019;6;432
00019;1;455
00019;8;487
00019;8;506
00019;8;618
00019;8;626
00019;7;672
00019;8;688
00019;8;693
00019;8;897
00019;1;936
00019;1;944
00019;1;1000
00019;7;1049
00019;8;1103
00019;1;1129
00019;1;1205
00020;6;126
00020;2;133
00020;2;153
00020;1;181
00020;7;207
00020;7;208
00020;7;220
00020;5;278
00020;2;283
00020;5;286
00020;5;287
00020;2;288
00020;5;290
00020;5;292
00020;2;370
00020;1;443
00020;7;538
00020;5;539
00020;8;540
00020;5;544
00020;1;604
00020;1;643
00020;4;711
00020;3;715
00020;1;731
00020;8;758
00020;1;767
00020;1;791
00020;8;823
00020;2;824
00020;2;882
00020;1;919
00020;8;924
00020;1;928
00020;1;944
00020;8;962
00020;2;970
00020;8;1066
00020;1;1080
00020;8;1115
00020;8;1168
00020;1;1189
00020;8;1213
00020;8;1215
00020;2;1234
00020;4;1239
00021;6;68
00021;2;97
00021;3;98
00021;1;181
00021;6;251
00021;1;413
00021;1;416
00021;1;434
00021;2;443
00021;1;551
00021;1;615
00021;1;676
00021;7;708
00021;8;709
00021;2;719
00021;1;722
00021;1;751
00021;1;756
00021;1;757
00021;1;932
00021;3;941
00021;2;1098
00021;6;1115
00021;7;1158
00021;1;1189
00022;8;13
00022;3;39
00022;1;67
00022;1;69
00022;1;104
00022;8;130
00022;1;189
00022;1;197
00022;1;221
00022;1;226
00022;2;237
00022;1;247
00022;7;258
00022;6;262
00022;8;276
00022;1;322
00022;1;325
00022;1;333
00022;2;342
00022;2;343
00022;1;350
00022;1;365
00022;4;370
00022;1;392
00022;5;431
00022;1;464
00022;1;465
00022;5;473
00022;5;478
00022;3;503
00022;2;510
00022;2;512
00022;2;514
00022;1;586
00022;2;590
00022;2;654
00022;3;671
00022;1;682
00022;8;692
00022;5;704
00022;1;713
00022;1;729
00022;2;731
00022;1;735
00022;6;764
00022;2;774
00022;3;788
00022;3;843
00022;2;845
00022;2;871
00022;4;880
00022;3;881
00022;2;882
00022;2;888
00022;7;898
00022;4;908
00022;1;942
00022;1;946
00022;1;968
00022;2;1000
00022;1;1033
00022;1;1040
00022;6;1083
00022;1;1093
00022;3;1114
00022;1;1144
00022;4;1156
00022;2;1166
00022;5;1194
00022;1;1195
00023;7;9
00023;7;10
00023;2;11
00023;7;12
00023;8;34
00023;8;42
00023;5;99
00023;1;162
00023;1;163
00023;1;167
00023;1;198
00023;1;248
00023;1;285
00023;2;322
00023;2;350
00023;3;370
00023;7;426
00023;6;434
00023;1;464
00023;8;509
00023;8;541
00023;2;582
00023;1;583
00023;2;598
00023;3;716
00023;1;780
00023;5;859
00023;1;883
00023;3;888
00023;8;979
00023;2;984
00023;2;1096
00023;8;1114
00023;1;1156
00023;1;1163
00024;2;32
00024;1;72
00024;1;199
00024;1;207
00024;6;210
00024;1;240
00024;5;254
00024;1;331
00024;1;370
00024;1;377
00024;1;411
00024;1;477
00024;1;492
00024;1;522
00024;2;552
00024;1;559
00024;2;611
00024;8;647
00024;1;677
00024;2;724
00024;1;763
00024;1;858
00024;8;913
00024;6;915
00024;6;926
00024;1;934
00024;1;1000
00024;3;1031
00024;8;1109
00024;5;1195
00024;1;1232
00025;6;72
00025;4;74
00025;3;83
00025;2;84
00025;4;106
00025;1;112
00025;3;120
00025;1;141
00025;2;162
00025;1;172
00025;4;198
00025;1;221
00025;1;276
00025;2;370
00025;1;390
00025;1;392
00025;5;411
00025;1;415
00025;1;425
00025;8;431
00025;2;432
00025;1;464
00025;4;465
00025;5;503
00025;1;505
00025;1;530
00025;1;550
00025;1;559
00025;1;566
00025;1;568
00025;3;569
00025;1;622
00025;7;647
00025;1;855
00025;5;858
00025;1;875
00025;2;880
00025;3;881
00025;1;891
00025;8;913
00025;1;915
00025;6;926
00025;1;949
00025;1;977
00025;1;1027
00025;1;1031
00025;1;1083
00025;2;1156
00025;5;1194
00025;5;1195
00025;1;1210
00026;2;74
00026;7;104
00026;8;199
00026;1;221
00026;8;281
00026;6;285
00026;5;328
00026;1;333
00026;4;342
00026;2;343
00026;1;370
00026;1;392
00026;8;431
00026;1;434
00026;2;442
00026;1;465
00026;1;485
00026;1;488
00026;1;490
00026;7;610
00026;8;617
00026;5;665
00026;1;713
00026;2;774
00026;6;807
00026;1;855
00026;3;881
00026;3;942
00026;8;1061
00026;8;1144
00026;6;1166
00026;5;1194
00026;1;1195
00027;4;98
00027;1;179
00027;8;599
00027;2;756
00027;1;858
00027;7;905
00027;1;912
00027;2;913
00027;1;1000
00027;1;1083
00027;2;1096
00028;1;134
00028;3;135
00028;1;136
00028;5;215
00028;1;274
00028;2;300
00028;2;322
00028;1;331
00028;1;333
00028;1;343
00028;6;351
00028;6;352
00028;5;370
00028;1;392
00028;1;398
00028;1;465
00028;1;467
00028;6;477
00028;1;510
00028;1;550
00028;1;559
00028;1;586
00028;1;611
00028;1;665
00028;4;722
00028;3;724
00028;1;729
00028;1;735
00028;5;759
00028;3;763
00028;6;822
00028;1;832
00028;1;837
00028;1;875
00028;2;882
00028;1;913
00028;1;937
00028;2;942
00028;1;944
00028;1;969
00028;2;990
00028;4;1000
00028;3;1033
00028;3;1040
00028;5;1083
00028;3;1093
00028;1;1187
00028;3;1192
00028;1;1222
00028;1;1226
00028;3;1234
00029;4;15
00029;1;100
00029;7;215
00029;8;274
00029;7;300
00029;8;322
00029;2;333
00029;1;343
00029;2;350
00029;7;351
00029;7;352
00029;6;353
00029;5;370
00029;1;385
00029;1;392
00029;1;434
00029;1;442
00029;4;477
00029;1;510
00029;1;553
00029;1;687
00029;3;714
00029;4;722
00029;3;724
00029;1;729
00029;7;759
00029;4;763
00029;1;764
00029;1;788
00029;3;822
00029;7;832
00029;1;837
00029;1;875
00029;1;937
00029;2;942
00029;4;944
00029;1;1000
00029;1;1033
00029;2;1040
00029;2;1083
00029;1;1093
00029;1;1184
00029;6;1192
00029;3;1234
00030;2;117
00030;2;328
00030;1;332
00030;7;433
00030;1;492
00030;2;557
00030;6;586
00030;1;687
00030;1;775
00030;6;880
00030;1;881
00030;7;911
00030;2;942
00030;2;1001
00030;1;1084
00030;6;1224
00030;1;1234
00031;8;43
00031;1;69
00031;5;127
00031;1;128
00031;3;136
00031;2;145
00031;2;168
00031;5;189
00031;1;213
00031;6;226
00031;8;239
00031;1;272
00031;4;330
00031;2;331
00031;8;332
00031;1;359
00031;4;370
00031;1;389
00031;8;433
00031;7;448
00031;8;467
00031;1;512
00031;1;550
00031;2;551
00031;8;557
00031;8;586
00031;2;620
00031;3;628
00031;7;651
00031;2;701
00031;2;722
00031;1;724
00031;2;729
00031;1;735
00031;8;760
00031;1;762
00031;1;764
00031;6;839
00031;8;845
00031;5;882
00031;2;937
00031;6;938
00031;2;940
00031;4;942
00031;1;944
00031;8;999
00031;2;1000
00031;7;1020
00031;7;1022
00031;6;1036
00031;4;1040
00031;8;1084
00031;2;1093
00031;2;1187
00031;4;1224
00031;1;1232
00031;8;1233
00031;3;1234
00032;1;43
00032;1;127
00032;1;128
00032;1;181
00032;8;184
00032;2;189
00032;2;212
00032;1;226
00032;2;239
00032;1;315
00032;1;330
00032;1;331
00032;1;370
00032;5;389
00032;5;433
00032;1;467
00032;1;473
00032;1;489
00032;1;506
00032;3;586
00032;6;722
00032;1;735
00032;1;764
00032;1;882
00032;1;937
00032;1;999
00032;2;1040
00032;1;1093
00032;1;1220
00032;2;1234
00033;2;37
00033;1;65
00033;8;91
00033;6;94
00033;1;96
00033;6;210
00033;3;225
00033;1;297
00033;3;359
00033;6;370
00033;7;403
00033;2;404
00033;2;413
00033;8;465
00033;1;515
00033;8;612
00033;6;637
00033;6;638
00033;1;663
00033;1;719
00033;8;721
00033;1;731
00033;2;763
00033;2;764
00033;1;773
00033;1;793
00033;1;795
00033;5;797
00033;8;811
00033;6;818
00033;1;822
00033;8;825
00033;1;846
00033;1;882
00033;3;888
00033;2;889
00033;8;916
00033;7;920
00033;6;927
00033;4;978
00033;1;981
00033;5;995
00033;8;996
00033;1;1000
00033;1;1023
00033;8;1052
00033;1;1072
00033;1;1098
00033;8;1105
00033;8;1113
00033;5;1122
00033;4;1123
00033;6;1183
00033;7;1186
00033;2;1189
00033;1;1215
00033;7;1234
00034;8;37
00034;7;65
00034;2;76
00034;1;77
00034;2;94
00034;1;135
00034;2;225
00034;1;235
00034;1;236
00034;1;247
00034;7;261
00034;1;277
00034;1;297
00034;1;359
00034;7;403
00034;8;404
00034;8;465
00034;7;471
00034;1;552
00034;1;627
00034;8;637
00034;8;638
00034;8;721
00034;6;773
00034;8;795
00034;8;817
00034;1;818
00034;1;825
00034;8;846
00034;7;916
00034;1;933
00034;1;941
00034;1;944
00034;8;995
00034;1;1000
00034;1;1023
00034;2;1052
00034;1;1186
00034;1;1234
00035;1;32
00035;1;120
00035;8;210
00035;4;811
00035;1;825
00035;1;888
00035;4;913
00035;5;915
00035;1;920
00035;1;926
00035;1;948
00035;1;1105
00035;8;1109
00035;1;1119
00036;1;66
00036;1;325
00036;2;370
00036;2;403
00036;5;612
00036;1;721
00036;6;722
00036;1;724
00036;6;1052
00037;6;3
00037;1;4
00037;5;28
00037;8;33
00037;7;35
00037;8;38
00037;2;65
00037;4;71
00037;3;76
00037;1;116
00037;1;119
00037;7;120
00037;8;131
00037;1;148
00037;1;150
00037;8;158
00037;8;175
00037;7;203
00037;1;220
00037;8;225
00037;3;231
00037;1;233
00037;8;234
00037;2;238
00037;6;247
00037;6;280
00037;1;291
00037;1;294
00037;8;318
00037;5;319
00037;4;333
00037;2;334
00037;1;342
00037;1;345
00037;3;370
00037;7;378
00037;8;379
00037;8;380
00037;1;392
00037;1;403
00037;2;428
00037;1;433
00037;1;443
00037;8;465
00037;6;470
00037;6;476
00037;8;482
00037;8;483
00037;8;491
00037;8;492
00037;1;510
00037;1;512
00037;1;514
00037;1;596
00037;8;600
00037;5;627
00037;1;671
00037;8;697
00037;1;711
00037;7;712
00037;8;717
00037;1;721
00037;2;731
00037;3;774
00037;1;776
00037;8;815
00037;7;817
00037;1;818
00037;7;831
00037;7;835
00037;8;849
00037;4;866
00037;3;871
00037;8;877
00037;1;888
00037;7;930
00037;4;933
00037;1;941
00037;5;942
00037;1;944
00037;8;946
00037;7;991
00037;8;1008
00037;3;1011
00037;8;1014
00037;8;1028
00037;1;1080
00037;8;1126
00037;7;1128
00037;1;1130
00037;6;1131
00037;8;1133
00037;3;1135
00037;7;1174
00037;8;1176
00037;7;1178
00037;7;1182
00037;6;1234
00038;7;14
00038;1;76
00038;2;117
00038;1;142
00038;1;252
00038;7;360
00038;1;370
00038;8;390
00038;1;392
00038;1;444
00038;6;465
00038;1;503
00038;1;505
00038;1;510
00038;1;572
00038;1;573
00038;1;621
00038;2;622
00038;1;627
00038;6;634
00038;5;644
00038;2;646
00038;2;666
00038;2;702
00038;1;729
00038;1;776
00038;1;786
00038;1;856
00038;1;862
00038;1;866
00038;3;873
00038;1;881
00038;2;882
00038;1;888
00038;6;971
00038;2;990
00038;1;1001
00038;2;1024
00038;1;1027
00038;1;1029
00038;1;1059
00038;1;1066
00038;7;1068
00038;1;1072
00038;1;1075
00038;7;1130
00038;7;1136
00038;6;1140
00038;2;1146
00038;2;1148
00038;2;1160
00038;1;1230
00038;4;1234
00039;1;3
00039;1;67
00039;1;74
00039;1;76
00039;6;83
00039;1;84
00039;7;85
00039;1;102
00039;1;107
00039;2;108
00039;2;112
00039;1;135
00039;1;143
00039;7;216
00039;7;217
00039;7;218
00039;7;219
00039;7;221
00039;6;222
00039;8;225
00039;1;226
00039;3;230
00039;1;233
00039;7;235
00039;7;236
00039;1;244
00039;1;248
00039;6;249
00039;3;252
00039;2;254
00039;3;263
00039;1;276
00039;7;277
00039;6;289
00039;6;293
00039;1;297
00039;1;301
00039;6;304
00039;1;306
00039;2;307
00039;2;308
00039;7;338
00039;2;342
00039;2;343
00039;3;356
00039;1;360
00039;1;365
00039;1;366
00039;1;370
00039;1;392
00039;2;404
00039;7;407
00039;4;412
00039;6;420
00039;3;433
00039;1;453
00039;2;465
00039;6;470
00039;2;488
00039;1;490
00039;2;494
00039;1;503
00039;3;505
00039;2;508
00039;2;510
00039;3;529
00039;1;530
00039;1;532
00039;2;534
00039;1;535
00039;4;553
00039;7;560
00039;2;563
00039;2;564
00039;1;565
00039;1;566
00039;2;567
00039;1;568
00039;1;569
00039;2;570
00039;2;571
00039;1;572
00039;3;573
00039;1;576
00039;6;584
00039;1;586
00039;2;608
00039;1;610
00039;6;619
00039;1;621
00039;2;622
00039;1;627
00039;7;639
00039;5;645
00039;2;646
00039;1;647
00039;1;652
00039;6;654
00039;2;702
00039;3;716
00039;1;729
00039;2;738
00039;2;739
00039;2;740
00039;1;744
00039;2;746
00039;1;749
00039;1;776
00039;2;777
00039;2;786
00039;1;845
00039;1;849
00039;6;851
00039;1;862
00039;3;869
00039;6;873
00039;2;881
00039;2;882
00039;1;888
00039;1;889
00039;1;892
00039;1;902
00039;2;918
00039;1;942
00039;1;944
00039;3;949
00039;3;966
00039;7;971
00039;2;990
00039;2;1001
00039;1;1026
00039;2;1027
00039;2;1029
00039;1;1044
00039;1;1066
00039;1;1070
00039;1;1072
00039;1;1076
00039;1;1096
00039;3;1127
00039;1;1135
00039;1;1136
00039;6;1137
00039;7;1139
00039;1;1140
00039;6;1141
00039;2;1146
00039;2;1148
00039;1;1160
00039;1;1161
00039;1;1185
00039;1;1194
00039;1;1209
00039;1;1210
00039;3;1211
00039;1;1222
00039;1;1224
00039;5;1225
00039;3;1230
00039;5;1234
00039;1;1236
00039;2;1238
00040;1;2
00040;7;3
00040;7;4
00040;1;5
00040;1;9
00040;1;10
00040;1;17
00040;7;28
00040;1;32
00040;1;35
00040;1;76
00040;6;77
00040;4;95
00040;1;103
00040;1;105
00040;1;108
00040;2;109
00040;1;112
00040;1;115
00040;6;116
00040;2;119
00040;1;120
00040;1;132
00040;1;142
00040;1;144
00040;3;150
00040;2;151
00040;1;169
00040;1;173
00040;1;189
00040;1;198
00040;1;210
00040;7;225
00040;7;231
00040;8;233
00040;1;235
00040;1;236
00040;4;240
00040;1;248
00040;1;249
00040;3;252
00040;6;254
00040;1;261
00040;1;263
00040;6;277
00040;1;279
00040;1;289
00040;1;291
00040;2;293
00040;3;294
00040;1;297
00040;1;298
00040;1;304
00040;1;308
00040;1;333
00040;1;338
00040;2;344
00040;1;345
00040;1;351
00040;1;352
00040;2;370
00040;1;392
00040;7;404
00040;7;405
00040;1;407
00040;1;413
00040;3;417
00040;3;420
00040;1;434
00040;8;465
00040;1;478
00040;5;479
00040;2;508
00040;1;510
00040;1;515
00040;1;526
00040;1;529
00040;1;532
00040;1;535
00040;1;553
00040;2;560
00040;1;571
00040;1;572
00040;2;573
00040;1;576
00040;1;583
00040;1;613
00040;1;616
00040;1;619
00040;1;645
00040;1;646
00040;1;654
00040;1;673
00040;1;677
00040;1;731
00040;1;735
00040;1;763
00040;1;780
00040;7;785
00040;7;786
00040;6;815
00040;1;849
00040;1;851
00040;1;852
00040;1;869
00040;1;882
00040;1;888
00040;4;899
00040;1;931
00040;4;941
00040;1;942
00040;1;949
00040;2;954
00040;1;956
00040;1;959
00040;1;1000
00040;7;1008
00040;1;1024
00040;1;1027
00040;1;1029
00040;2;1052
00040;2;1080
00040;6;1100
00040;2;1105
00040;1;1109
00040;6;1117
00040;5;1124
00040;1;1126
00040;3;1127
00040;1;1128
00040;1;1130
00040;2;1131
00040;1;1132
00040;2;1133
00040;6;1135
00040;5;1137
00040;5;1139
00040;4;1141
00040;1;1146
00040;1;1148
00040;2;1160
00040;1;1161
00040;1;1192
00040;5;1193
00040;4;1230
00040;8;1234
00041;1;46
00041;1;296
00041;1;301
00041;1;322
00041;1;370
00041;1;392
00041;7;603
00041;1;941
00041;2;998
00041;8;1106
00041;8;1107
00041;8;1108
00041;6;1115
00041;1;1184
00041;8;1190
00042;1;5
00042;1;46
00042;8;57
00042;7;92
00042;1;135
00042;8;209
00042;3;245
00042;1;297
00042;5;301
00042;1;314
00042;8;317
00042;1;322
00042;6;337
00042;1;339
00042;2;370
00042;7;416
00042;1;434
00042;6;443
00042;1;489
00042;7;505
00042;1;509
00042;1;550
00042;8;585
00042;1;586
00042;1;601
00042;8;695
00042;1;719
00042;2;722
00042;1;724
