Query;Results
00020;[(1, '278', 0.47760249368381813), (2, '126', 0.4068606693717829), (3, '1215', 0.4054986879438762), (4, '286', 0.36443865457716274), (5, '1066', 0.32379809060842507), (6, '758', 0.2968959518428415), (7, '208', 0.28511732030885), (8, '919', 0.28049568868813823), (9, '283', 0.23838792255710975), (10, '185', 0.2375259339863225), (11, '540', 0.2281717959624501), (12, '292', 0.22741633960505223), (13, '752', 0.2214552441992128), (14, '1239', 0.20713234292569416), (15, '715', 0.2021756796038302), (16, '662', 0.2006600449025437), (17, '538', 0.19564411949767313), (18, '970', 0.1888057787212534), (19, '924', 0.18136092698324208), (20, '1107', 0.17768798175498654), (21, '992', 0.17554993776553748), (22, '207', 0.16824721816753643), (23, '810', 0.16805855447261736), (24, '711', 0.15528656705111077), (25, '928', 0.14869936337023257), (26, '1030', 0.14786874637255576), (27, '1168', 0.14779463448498886), (28, '181', 0.1430484575818485), (29, '1087', 0.1401437135513009), (30, '823', 0.12972265018186743), (31, '816', 0.12548124046786657), (32, '1050', 0.12521761059708278), (33, '395', 0.12160116008014335), (34, '424', 0.12043325447576522), (35, '1078', 0.11659838211570565), (36, '802', 0.10907395482995885), (37, '89', 0.10650376296619005), (38, '962', 0.10438966868041444), (39, '359', 0.10310655981492589), (40, '287', 0.10252633560563133)]
00021;[(1, '715', 0.23648613074281494), (2, '928', 0.23563322132039533), (3, '791', 0.21952453322767806), (4, '899', 0.18161588572220458), (5, '643', 0.17855420447457607), (6, '815', 0.16520024108965137), (7, '424', 0.14433189496368934), (8, '97', 0.14187566985311723), (9, '657', 0.1404519399053388), (10, '234', 0.1367416191085983), (11, '126', 0.13573165233081405), (12, '68', 0.13485098737698062), (13, '283', 0.129571655252218), (14, '902', 0.12949597690543285), (15, '1206', 0.12929857082042107), (16, '830', 0.12825578948998925), (17, '96', 0.1251820700624904), (18, '1177', 0.12476191003736696), (19, '1124', 0.12213610049235515), (20, '866', 0.12203873035699718), (21, '523', 0.12179219680732954), (22, '635', 0.11843920765703965), (23, '708', 0.11725981091646724), (24, '1088', 0.11594189070272222), (25, '688', 0.11489113463582765), (26, '306', 0.11174841766557722), (27, '1158', 0.11047067968469748), (28, '1216', 0.10932947948379192), (29, '150', 0.10246947710534908), (30, '314', 0.10126390544320639)]
00022;[(1, '871', 0.4498813086011627), (2, '104', 0.41876515938212144), (3, '1144', 0.29352125251252276), (4, '328', 0.28783481598726846), (5, '881', 0.27023996267357914), (6, '167', 0.2599305868374805), (7, '510', 0.2508549440904436), (8, '874', 0.23782908379460976), (9, '365', 0.22730684802375875), (10, '431', 0.1957534151633068), (11, '264', 0.1950293208168143), (12, '671', 0.18940568964143878), (13, '248', 0.18907900421933882), (14, '113', 0.17013656149763953), (15, '692', 0.1608247554674374), (16, '901', 0.1508222111760976), (17, '610', 0.14680784141253092), (18, '342', 0.14392054567764653), (19, '664', 0.14151668443293455), (20, '780', 0.13246880786843282), (21, '476', 0.132379216408688), (22, '442', 0.12555578245270888), (23, '880', 0.12467149036175611), (24, '807', 0.12275835891757894), (25, '212', 0.11878170478689326), (26, '882', 0.11626962999887581), (27, '514', 0.10459424517472395), (28, '576', 0.10387834168205134), (29, '488', 0.10376626080896838)]
00023;[(1, '46', 0.2887928751602489), (2, '545', 0.21893241319501894), (3, '902', 0.1955613019145811), (4, '1080', 0.19103779337564472), (5, '768', 0.17799999135334876), (6, '247', 0.15757933716292127), (7, '432', 0.1389547719275188), (8, '881', 0.12603914730268184), (9, '770', 0.12106639650167447), (10, '490', 0.11774128653426016), (11, '863', 0.11758110417261032), (12, '796', 0.11302286911602101), (13, '728', 0.1072994268733025), (14, '99', 0.10302003392944627), (15, '841', 0.10066614436767919)]
00024;[(1, '210', 0.22911332476520496), (2, '822', 0.1482892720069646), (3, '96', 0.12126665620055671), (4, '120', 0.11043260070522451), (5, '949', 0.10780585788277944), (6, '285', 0.10413931221504244), (7, '1084', 0.10058380254830061)]
00025;[(1, '915', 0.21626364355838879), (2, '203', 0.18401892304757517), (3, '926', 0.17255463386854256), (4, '464', 0.15916327776836217), (5, '1194', 0.15079431984123717), (6, '72', 0.1451246224234129), (7, '811', 0.13713028434085653), (8, '1001', 0.1361605353035168), (9, '548', 0.13112818217480438), (10, '254', 0.12941488530909756), (11, '763', 0.12897041764814582), (12, '111', 0.12700558612750865), (13, '881', 0.12572553214152804), (14, '9', 0.12209960802008481), (15, '247', 0.12096188472195533), (16, '1109', 0.11813459325654754), (17, '1224', 0.11431159865673746), (18, '14', 0.11254614889552554), (19, '1031', 0.11067884844683157), (20, '215', 0.1097016787786113), (21, '549', 0.10911413248289836), (22, '559', 0.10905526516099304), (23, '118', 0.10898135979729434), (24, '197', 0.10751121673002437), (25, '431', 0.10470387693373989), (26, '304', 0.10364964009684141)]
00026;[(1, '1061', 0.21370471339389394), (2, '104', 0.2037868228093389), (3, '442', 0.18707670323837755), (4, '293', 0.17490949836733477), (5, '1236', 0.16327250153744993), (6, '881', 0.16258509957525963), (7, '785', 0.1592703438280302), (8, '610', 0.15805323836680205), (9, '617', 0.15746794073636836), (10, '1159', 0.15361072618219013), (11, '1238', 0.1399836343685306), (12, '786', 0.13197123762412555), (13, '731', 0.1314852377358107), (14, '1144', 0.1277243026839421), (15, '281', 0.12448835238012991), (16, '583', 0.12324415376181994), (17, '289', 0.12214452063157451), (18, '50', 0.12126850342003678), (19, '146', 0.11964554161314422), (20, '807', 0.11962364313485259), (21, '639', 0.11268176010332383), (22, '230', 0.10930309353722496), (23, '356', 0.10862358549953235), (24, '1156', 0.10780434668364756), (25, '3', 0.10679520908200128), (26, '842', 0.10512113916472283), (27, '721', 0.10385292255248735), (28, '76', 0.10380967149399704), (29, '407', 0.10352670540640578)]
00027;[(1, '599', 0.3355790870271765), (2, '905', 0.2816483221607026), (3, '217', 0.14610595670572105), (4, '977', 0.14103113881456034), (5, '822', 0.11155707722926377), (6, '949', 0.10945529777716938)]
00028;[(1, '807', 0.23242289502762997), (2, '477', 0.22224481510990604), (3, '1166', 0.21669211407867328), (4, '610', 0.2132403527855416), (5, '871', 0.21106086534779459), (6, '687', 0.2081579986175156), (7, '352', 0.15100853337693176), (8, '594', 0.14499098403572727), (9, '398', 0.1255561787809208), (10, '351', 0.12414884028282758), (11, '514', 0.1132457443471704), (12, '1083', 0.10932473179551223), (13, '369', 0.10100871379705836)]
00029;[(1, '665', 0.2762430182252416), (2, '687', 0.2573191489259795), (3, '1224', 0.17752456045261972), (4, '610', 0.17288869960448974), (5, '799', 0.16364672630887414), (6, '763', 0.13347466449960205), (7, '22', 0.12903951716552028), (8, '1192', 0.12139898557160483), (9, '406', 0.11296251992729998), (10, '1214', 0.10959625694941064), (11, '240', 0.10372802338443675)]
00030;[(1, '1001', 0.43295473942657114), (2, '760', 0.2627649933943047), (3, '216', 0.23442250223674327), (4, '845', 0.2323348516438544), (5, '203', 0.22145231583617236), (6, '1084', 0.2181558150135277), (7, '477', 0.21056827596892141), (8, '43', 0.20484944058893811), (9, '1224', 0.20199946449168263), (10, '1031', 0.15565252868355173), (11, '911', 0.15494555607315805), (12, '9', 0.14899707285357672), (13, '247', 0.14700963028945466), (14, '880', 0.14547707546318553), (15, '557', 0.14431157827743313), (16, '252', 0.14229159374000636), (17, '239', 0.13841608734778688), (18, '332', 0.13431058261754086), (19, '1177', 0.13405651377314245), (20, '913', 0.13314167010645714), (21, '942', 0.13210499743064394), (22, '254', 0.12926534921087), (23, '469', 0.12895122069797416), (24, '72', 0.12556432496735837), (25, '297', 0.12482309864206736), (26, '225', 0.12274645849836413), (27, '1132', 0.12228038612268646), (28, '1194', 0.12119244796111481), (29, '431', 0.12046308625308656), (30, '162', 0.1185578384326237), (31, '1195', 0.11256788097482133), (32, '849', 0.1104354622736518), (33, '938', 0.10989580586341334), (34, '881', 0.10877989765550655), (35, '69', 0.10364604620177235), (36, '433', 0.10254737209123958), (37, '236', 0.10066856334264569), (38, '197', 0.10064548131479321), (39, '464', 0.10026925818706804)]
00031;[(1, '433', 0.5191510166864329), (2, '760', 0.3610259322517567), (3, '764', 0.24638091132334608), (4, '43', 0.19848047497554488), (5, '845', 0.1808995872331737), (6, '216', 0.16731754364264603), (7, '1033', 0.16245696686393893), (8, '145', 0.1348165378448384), (9, '586', 0.13197022293143348), (10, '1182', 0.12897235679459315), (11, '469', 0.1241139931957727), (12, '651', 0.12190449161234852), (13, '239', 0.1077729530911205), (14, '700', 0.10684320984523853), (15, '203', 0.10298562622403905), (16, '1084', 0.1029742961408843), (17, '332', 0.10020145370247774)]
00032;[(1, '184', 0.4231300182854927), (2, '389', 0.27803142604648284), (3, '1179', 0.13474935113511072), (4, '1080', 0.13456082652002427), (5, '865', 0.11479878995876114), (6, '767', 0.11315305770323467), (7, '1234', 0.10369968846201452), (8, '392', 0.10090386430949314), (9, '963', 0.10008474100556124)]
00033;[(1, '920', 0.23159976172865498), (2, '811', 0.22642512025551312), (3, '916', 0.2032220998128108), (4, '846', 0.18167689381078103), (5, '1186', 0.1800117037560493), (6, '825', 0.17227405929770473), (7, '612', 0.17133034007303152), (8, '392', 0.16198427180259353), (9, '1183', 0.1522074119336233), (10, '480', 0.14898828177362664), (11, '210', 0.14877254633023046), (12, '471', 0.13784126261358554), (13, '404', 0.1359304145245812), (14, '950', 0.12506581538631528), (15, '818', 0.12357118345470561), (16, '707', 0.12338779050434137), (17, '638', 0.1221166181213416), (18, '534', 0.120127013210693), (19, '1234', 0.11931222897325916), (20, '1105', 0.11562419769638), (21, '302', 0.11272998218341082), (22, '864', 0.11172480508802186), (23, '91', 0.10846555091937073), (24, '1215', 0.10587708211205812), (25, '1109', 0.1051392670829268), (26, '978', 0.10368314944580737), (27, '249', 0.10139103990126169), (28, '165', 0.10060043057903433)]
00034;[(1, '404', 0.29009144644332485), (2, '846', 0.28533956494926643), (3, '795', 0.276046196644248), (4, '773', 0.2399908304758519), (5, '916', 0.22013570967751278), (6, '929', 0.17200150784183318), (7, '996', 0.1647403741221398), (8, '471', 0.1596583296621048), (9, '707', 0.1518287931509659), (10, '1074', 0.1361140983281142), (11, '818', 0.13089619525781415), (12, '978', 0.12993885567615385), (13, '210', 0.1287399934327974), (14, '337', 0.12366142214908528), (15, '65', 0.10617217875879034)]
00035;[(1, '920', 0.3849826793869385), (2, '846', 0.35964650706306467), (3, '916', 0.3218174853695344), (4, '825', 0.28457412095050333), (5, '210', 0.2510137996771277), (6, '1186', 0.25022481452730927), (7, '612', 0.24953098285587005), (8, '480', 0.23593415398266465), (9, '404', 0.22387802628368184), (10, '1105', 0.20940229540580985), (11, '471', 0.20745442712355333), (12, '818', 0.20197666469547412), (13, '1183', 0.19828881730231596), (14, '707', 0.19539384989125524), (15, '758', 0.19273242054553807), (16, '864', 0.1901781273165517), (17, '65', 0.18907222461414933), (18, '1109', 0.1805272148997186), (19, '1159', 0.17817088322743085), (20, '1215', 0.16766432565627068), (21, '147', 0.16662145374458384), (22, '638', 0.1624573006007337), (23, '811', 0.15958705086783453), (24, '978', 0.1562783482370324), (25, '913', 0.1561054955358522), (26, '91', 0.15198862724035056), (27, '719', 0.15021879990081985), (28, '1128', 0.14998155667457602), (29, '793', 0.14836136141279413), (30, '802', 0.14044863366782792), (31, '51', 0.13947844602735712), (32, '716', 0.13859550833201473), (33, '1134', 0.13513591472793227), (34, '927', 0.12871569247376105), (35, '529', 0.12790373662495136), (36, '1113', 0.12723223505710854), (37, '211', 0.12660007191731437), (38, '207', 0.12451970690630283), (39, '611', 0.12364733629976576), (40, '228', 0.12338065785746917), (41, '403', 0.12104065570938545), (42, '94', 0.12042639444188849), (43, '96', 0.1201701703519094), (44, '1066', 0.11781846887599425), (45, '882', 0.11680938023283338), (46, '773', 0.11669538168916427), (47, '199', 0.11410296203270459), (48, '1030', 0.10984848757953121), (49, '1237', 0.10940829631203203), (50, '929', 0.10849361548271653), (51, '1234', 0.10771503652930381), (52, '337', 0.10689695170948216), (53, '145', 0.10641960754699557), (54, '44', 0.10593528362126635), (55, '289', 0.10455506973834812), (56, '482', 0.10271500101631631)]
00036;[(1, '612', 0.36085718976259507), (2, '766', 0.3065315067092349), (3, '1159', 0.28666947159007566), (4, '1215', 0.21707416259734624), (5, '471', 0.2104528500012833), (6, '721', 0.20223366806681436), (7, '655', 0.20023654674621483), (8, '480', 0.19244931071706134), (9, '978', 0.19030450659909104), (10, '825', 0.18979274972219046), (11, '1183', 0.1844232432907336), (12, '1058', 0.1782455154260875), (13, '526', 0.17652373534035018), (14, '846', 0.17448423355969442), (15, '1135', 0.1688746227733351), (16, '66', 0.1601305594151571), (17, '707', 0.1593809590310013), (18, '716', 0.15228840600537064), (19, '1186', 0.1517568025408439), (20, '210', 0.1492630996410767), (21, '1037', 0.14744927475239558), (22, '920', 0.1470167283212816), (23, '147', 0.14394313438390074), (24, '818', 0.14211013427616948), (25, '636', 0.14048973667585674), (26, '1109', 0.13580920082124218), (27, '55', 0.13052202916022695), (28, '325', 0.12492551385224887), (29, '913', 0.12418541706440284), (30, '1105', 0.12315694569829617), (31, '916', 0.12210319349095232), (32, '864', 0.12155469653079898), (33, '94', 0.12134753961553421), (34, '91', 0.11800868317167962), (35, '793', 0.11531381459208981), (36, '337', 0.1150557585540345), (37, '929', 0.10932348646520705), (38, '811', 0.10643436269993625), (39, '347', 0.10045832731047308)]
00037;[(1, '247', 0.3278986841038783), (2, '175', 0.22097501618752197), (3, '903', 0.21981615781056782), (4, '946', 0.20599784616161068), (5, '1174', 0.20502146521312642), (6, '1117', 0.19479809858891103), (7, '697', 0.19172662555605788), (8, '379', 0.19108040888489441), (9, '600', 0.19052146967524494), (10, '491', 0.18970709686698783), (11, '289', 0.17559134200476484), (12, '334', 0.16624305631778832), (13, '378', 0.164250138649091), (14, '492', 0.15823156612414163), (15, '815', 0.15590069492033773), (16, '1011', 0.1555624267225145), (17, '3', 0.15409839569061592), (18, '158', 0.1531360076781131), (19, '717', 0.14932792159652955), (20, '817', 0.1467035710092364), (21, '796', 0.14180588820270243), (22, '774', 0.13881782247462557), (23, '627', 0.13829775100567418), (24, '1133', 0.13221332297692473), (25, '76', 0.1321063671049984), (26, '1182', 0.1286486643197087), (27, '1128', 0.12615027701581483), (28, '488', 0.12284087036359602), (29, '69', 0.12157781278985245), (30, '877', 0.12087237018679797), (31, '835', 0.12031478727436634), (32, '465', 0.11678207318877777), (33, '120', 0.11580512403451908), (34, '534', 0.11479943623635766), (35, '605', 0.1142031870063182), (36, '302', 0.1117519476116681), (37, '403', 0.11038805814109333), (38, '818', 0.10832446386390049), (39, '746', 0.10805804853251513), (40, '831', 0.10505798011427671), (41, '483', 0.10170648438393869), (42, '266', 0.10165975743833724)]
00038;[(1, '14', 0.3161149116593439), (2, '1068', 0.31300288181427854), (3, '1001', 0.28407614838182704), (4, '1136', 0.16360455538858446), (5, '472', 0.16148046104061362), (6, '1184', 0.14116465314169926), (7, '1183', 0.13532734955894213), (8, '752', 0.1341012043321623), (9, '722', 0.1322550654570141), (10, '786', 0.12870105131773651), (11, '1236', 0.12194167655874226), (12, '1130', 0.11812860464559818), (13, '1096', 0.1133550849154396), (14, '873', 0.11327834312208525), (15, '599', 0.10721365096612752), (16, '360', 0.10602160833390285), (17, '1224', 0.10599644534589305), (18, '207', 0.10534385947283158), (19, '513', 0.1005137353031298)]
00039;[(1, '407', 0.2569903558213324), (2, '1210', 0.25038682356079844), (3, '1007', 0.2172172473817683), (4, '430', 0.21623093993018144), (5, '966', 0.18739437628819758), (6, '293', 0.18709124622508314), (7, '946', 0.1850881839173975), (8, '1236', 0.1746437790518133), (9, '610', 0.16906101505049845), (10, '1159', 0.16430909963854287), (11, '84', 0.16230810850347477), (12, '339', 0.15609152084992023), (13, '419', 0.14269485564419312), (14, '786', 0.14116250714475395), (15, '583', 0.1318276167531496), (16, '289', 0.13065139856804034), (17, '532', 0.12581269065529066), (18, '740', 0.12224681145468518), (19, '639', 0.12052959456948413), (20, '574', 0.12011988247306941), (21, '230', 0.11691561737367216), (22, '356', 0.11618878431555614), (23, '3', 0.11423306878428155), (24, '479', 0.11385120344712031), (25, '59', 0.11174225383774626), (26, '937', 0.11049458711510228), (27, '1096', 0.10720759646192148), (28, '918', 0.10632724494301654), (29, '494', 0.10156092722660447), (30, '444', 0.10101312484799956)]
00040;[(1, '649', 0.19589017479514398), (2, '1126', 0.15704701918585254), (3, '846', 0.1561181394540213), (4, '480', 0.15412885542430263), (5, '1186', 0.15352019761218633), (6, '707', 0.1529484958285344), (7, '1234', 0.14914738157293156), (8, '289', 0.13850564799373388), (9, '612', 0.13508196931447117), (10, '350', 0.13471080966170193), (11, '920', 0.1315418455059637), (12, '916', 0.12827912552916754), (13, '1183', 0.12565626848226114), (14, '825', 0.12544963874346138), (15, '818', 0.11715689117062221), (16, '333', 0.1133659892665487), (17, '465', 0.10916549831144691), (18, '14', 0.10723207696524273), (19, '77', 0.10689965514793652), (20, '690', 0.10541716679690184), (21, '3', 0.10415343008618402), (22, '934', 0.10280521548998417), (23, '113', 0.10276902655502348), (24, '91', 0.10101716991428193), (25, '377', 0.10061684280655425)]
00041;[(1, '414', 0.5524065347625469), (2, '1108', 0.5128847344958974), (3, '157', 0.45657076167557004), (4, '878', 0.450546062154038), (5, '1190', 0.3809367987181055), (6, '1115', 0.3738539418558899), (7, '676', 0.357764893687329), (8, '581', 0.34918421713933906), (9, '794', 0.32344666692335805), (10, '165', 0.3091032671558551), (11, '1106', 0.2996823933627226), (12, '296', 0.28668255621102295), (13, '126', 0.2760131786134927), (14, '992', 0.22714958834432128), (15, '1107', 0.20930070249492447), (16, '866', 0.20683923578766836), (17, '1216', 0.1852987647391935), (18, '715', 0.18264184610106193), (19, '970', 0.1825647786269763), (20, '974', 0.1789270554095967), (21, '1088', 0.17371168546613894), (22, '468', 0.1689158430997861), (23, '376', 0.16790275744386873), (24, '197', 0.1662799978583403), (25, '1239', 0.1648575057577135), (26, '1219', 0.1609043445146423), (27, '985', 0.1572856790509113), (28, '14', 0.15488267410512824), (29, '283', 0.1513045910701648), (30, '997', 0.1471952709548801), (31, '553', 0.1320733309114056), (32, '443', 0.13006510210909913), (33, '386', 0.1184929436080703), (34, '708', 0.11727693615944496), (35, '413', 0.1087031888770638), (36, '1215', 0.10647857835085861), (37, '545', 0.10581491481254043), (38, '933', 0.10474841609929965), (39, '856', 0.10443847040655058), (40, '1218', 0.10127055802891224), (41, '212', 0.10057336642928248)]
00042;[(1, '337', 0.4972440667394851), (2, '317', 0.46832452350745035), (3, '585', 0.4682416196809092), (4, '209', 0.3898133334721405), (5, '695', 0.34373554476627177), (6, '92', 0.22786961961297178), (7, '416', 0.22429334113301083), (8, '441', 0.1525492478713626), (9, '866', 0.15186825866378723), (10, '601', 0.1436161711702804), (11, '553', 0.14355495793393874), (12, '1216', 0.14345531464689168), (13, '129', 0.12916392967693135), (14, '499', 0.12684523669434095), (15, '14', 0.12677561832618367), (16, '997', 0.12604053666277315), (17, '498', 0.12481407006039766), (18, '856', 0.12329367268082174), (19, '314', 0.12317544186282356), (20, '1088', 0.12022352685075542), (21, '376', 0.11620324570394884), (22, '1156', 0.1131936333615149), (23, '1219', 0.11135973801215607), (24, '197', 0.11087182890910725), (25, '386', 0.10952650724873164), (26, '827', 0.1044183570039742), (27, '1190', 0.10235815867853533)]
00043;[(1, '418', 0.3598602934862767), (2, '741', 0.23815238596957908), (3, '471', 0.2282529937058558), (4, '140', 0.21445662657226136), (5, '383', 0.19046167021548044), (6, '818', 0.1846561040959752), (7, '65', 0.1845839472536761), (8, '484', 0.18232389464717857), (9, '4', 0.17938263663503118), (10, '1200', 0.17535653999456746), (11, '261', 0.17453637269466046), (12, '612', 0.1710816827248726), (13, '91', 0.16512230102971), (14, '125', 0.16110371315249036), (15, '343', 0.15932506198013435), (16, '1105', 0.15299862527677752), (17, '817', 0.1508232189060451), (18, '966', 0.1504874757244687), (19, '714', 0.14762414031966326), (20, '404', 0.14404498544515884), (21, '490', 0.1403890115926363), (22, '996', 0.13564605147179132), (23, '978', 0.12476124382537959), (24, '716', 0.12420665701805027), (25, '1026', 0.12086346941020847), (26, '94', 0.11289385796645153), (27, '324', 0.11282263781191217), (28, '570', 0.11267684308546955), (29, '376', 0.11054842815903784), (30, '46', 0.1091786562422224), (31, '929', 0.10170746100418193)]
00044;[(1, '737', 0.2040438821549495), (2, '499', 0.1562872756318995), (3, '1053', 0.15439046918909993), (4, '535', 0.15139276714219435), (5, '532', 0.14066017319022145), (6, '666', 0.1332984369373587), (7, '336', 0.13123301031752557), (8, '1148', 0.12515499860959395), (9, '1068', 0.11991789062026967), (10, '570', 0.11991034345426771), (11, '528', 0.11682648138589716), (12, '53', 0.11205470222790424), (13, '847', 0.11147030580219024), (14, '691', 0.10919347491309887), (15, '971', 0.10731268212025247), (16, '873', 0.10721722919208164), (17, '319', 0.10371961218094436), (18, '1142', 0.10261350713563498), (19, '411', 0.10153563782043566), (20, '624', 0.10079326404605753)]
00045;[(1, '919', 0.3768476422118139), (2, '208', 0.2714432210484369), (3, '538', 0.2516875849340497), (4, '924', 0.23469935651132534), (5, '803', 0.2054235831835292), (6, '540', 0.20389250049205543), (7, '961', 0.18465785691842015), (8, '376', 0.17365571915110883), (9, '1159', 0.16776924929546128), (10, '866', 0.1620995088227171), (11, '1157', 0.15957797564445844), (12, '997', 0.13773744683042702), (13, '1216', 0.1368824090192529), (14, '14', 0.13531639621196767), (15, '553', 0.1324512109154334), (16, '1088', 0.12832289527060417), (17, '566', 0.12696617413287525), (18, '1219', 0.11886195965649324), (19, '197', 0.1183411804847939), (20, '856', 0.11517186014746314), (21, '126', 0.11304805342520055), (22, '1190', 0.10925395070553148), (23, '283', 0.10638640729577231), (24, '287', 0.10429450269572514), (25, '233', 0.10076638502482815), (26, '1156', 0.10029116544450634)]
00046;[(1, '53', 0.35785962367168495), (2, '51', 0.3404053252832371), (3, '1055', 0.25675420623316203), (4, '1212', 0.2140251472431262), (5, '847', 0.18573961876661793), (6, '856', 0.15209346590377326), (7, '52', 0.1252243279533961), (8, '371', 0.10818836208328983), (9, '1128', 0.10003870772103024)]
00047;[(1, '840', 0.41583658084092795), (2, '1165', 0.17121701452792729), (3, '973', 0.1647578184730794), (4, '376', 0.1643496475587626), (5, '307', 0.15450499277237414), (6, '680', 0.1498170751920806), (7, '866', 0.14938784334774), (8, '791', 0.14594312239817123), (9, '197', 0.14507351735725801), (10, '997', 0.13035620682625784), (11, '1216', 0.1295469898099521), (12, '1088', 0.12144617358148861), (13, '92', 0.11418929607970699), (14, '694', 0.11379454837857274), (15, '283', 0.11354878396104309), (16, '719', 0.11273310849420143), (17, '1219', 0.11249224196693432), (18, '581', 0.10993680196387497), (19, '14', 0.10828234193722731), (20, '64', 0.10750676088655717), (21, '601', 0.10565560165323448), (22, '147', 0.1053480489644192), (23, '233', 0.10441382461127653), (24, '1190', 0.1033991185584392)]
00048;[(1, '737', 0.4754185062564802), (2, '1053', 0.41175475566459196), (3, '336', 0.34999450667021215), (4, '666', 0.34948290549265104), (5, '1148', 0.3432241983023928), (6, '1068', 0.3144016824009444), (7, '971', 0.29946967653036305), (8, '528', 0.2916083426341093), (9, '691', 0.2731172208118415), (10, '624', 0.26997332352105985), (11, '847', 0.26332943459763075), (12, '411', 0.260959653020659), (13, '873', 0.259940285534842), (14, '53', 0.255260111447202), (15, '574', 0.25460625342937765), (16, '154', 0.25316939112795134), (17, '840', 0.24730785322164833), (18, '390', 0.22780665222528612), (19, '750', 0.2209601244671776), (20, '1142', 0.21460058964059156), (21, '312', 0.21354439014959653), (22, '523', 0.20813479779625088), (23, '623', 0.20424394598418122), (24, '621', 0.20288418540378836), (25, '310', 0.19584497817137583), (26, '1230', 0.18907412588333117), (27, '236', 0.18770139724746923), (28, '243', 0.18449870867104134), (29, '171', 0.1844852234102914), (30, '786', 0.18265817533408793), (31, '1024', 0.1807738181365498), (32, '625', 0.1693033574143818), (33, '143', 0.16427351967699866), (34, '973', 0.1627772696956348), (35, '951', 0.1616040323062298), (36, '636', 0.16143927095540553), (37, '765', 0.16080357999310346), (38, '647', 0.1553286503235709), (39, '1185', 0.1549760442232203), (40, '1059', 0.15251404252365855), (41, '124', 0.15067419258490247), (42, '1030', 0.14651343917813317), (43, '44', 0.14516518675102327), (44, '1146', 0.14403119453744126), (45, '1057', 0.14066318925700658), (46, '575', 0.1396023214766293), (47, '967', 0.1327491391832222), (48, '138', 0.13192554262360776), (49, '567', 0.12691760909282107), (50, '561', 0.1255408260775852), (51, '1211', 0.12394661886728416), (52, '399', 0.12132220393892629), (53, '1136', 0.11758304354047971), (54, '1178', 0.11421039222249724), (55, '74', 0.1137763219541334), (56, '269', 0.10672490812106954), (57, '576', 0.10251620366559756), (58, '548', 0.10149055629254383)]
00049;[(1, '143', 0.516405605520168), (2, '313', 0.3414874728775444), (3, '138', 0.2891148716871265), (4, '230', 0.20419767748347248), (5, '436', 0.19659236684988632), (6, '562', 0.18669619215044472), (7, '504', 0.1771310441047156), (8, '553', 0.15023728458820546), (9, '1198', 0.14744120024758137), (10, '866', 0.13313441124476408), (11, '563', 0.12232275906607476), (12, '1216', 0.11926964366305863), (13, '568', 0.1143013811723971), (14, '1088', 0.111811489163551), (15, '523', 0.11128187435565738), (16, '376', 0.10807250700543636), (17, '197', 0.10702799946223064), (18, '691', 0.10561764973621252), (19, '1219', 0.10356789944666168)]
00050;[(1, '259', 0.47695343045422967), (2, '495', 0.3376561366050811), (3, '848', 0.33194696580257765), (4, '548', 0.2870783694847178), (5, '53', 0.24296991550398553), (6, '208', 0.21869097460747272), (7, '435', 0.2180647341932213), (8, '1029', 0.20394990963371895), (9, '1230', 0.17398745656840717), (10, '197', 0.15787916635035454), (11, '283', 0.12459236406132547), (12, '553', 0.12376411489200906), (13, '376', 0.11918002841526971), (14, '866', 0.10486303760417205), (15, '973', 0.10111838545516634)]
00051;[(1, '444', 0.1227368914841883), (2, '568', 0.1223617405371195), (3, '114', 0.10409010028225664)]
00052;[(1, '406', 0.6373710013598701), (2, '293', 0.12816411620418866)]
00053;[(1, '609', 0.20936173760428392), (2, '912', 0.20743777995851242), (3, '778', 0.2062995601608986), (4, '7', 0.20416771650540164), (5, '1170', 0.20025918202589021), (6, '1112', 0.19191494103055196), (7, '61', 0.16227767521047481), (8, '111', 0.15022021109579878), (9, '271', 0.1467734755934076), (10, '199', 0.13729155993705305), (11, '761', 0.13478073610641333), (12, '8', 0.1326383059590605), (13, '1102', 0.13228845240037204), (14, '1051', 0.12886642210709848), (15, '800', 0.12642465044653556), (16, '980', 0.12333318125910339), (17, '29', 0.1226490190923169), (18, '188', 0.12117961545696128), (19, '1173', 0.12041795387162972), (20, '401', 0.11797391514306893), (21, '555', 0.11404925464171416), (22, '1228', 0.11350915476662593), (23, '62', 0.10662132623551057), (24, '922', 0.10315707813397537), (25, '1', 0.10240808654104638)]
00054;[(1, '11', 0.29279201431037694), (2, '1169', 0.27846813049916364), (3, '1049', 0.2476861055157287), (4, '793', 0.22623461534823103), (5, '432', 0.20635247809121804), (6, '402', 0.19025709949283306), (7, '488', 0.18803043176864348), (8, '812', 0.18303106180508974), (9, '324', 0.17867504016599442), (10, '672', 0.17369161081544318), (11, '1048', 0.15311852677895796), (12, '819', 0.15081476327556637), (13, '485', 0.14042562540884138), (14, '273', 0.13671689024687944), (15, '229', 0.1318905647628335), (16, '1060', 0.1317460702399818), (17, '1163', 0.12378023293462552), (18, '1158', 0.1232058284283237), (19, '631', 0.11742389811099374), (20, '382', 0.11668691822736048), (21, '1013', 0.11321036221610391), (22, '1212', 0.10111430290418387), (23, '21', 0.10055104538420497)]
