QueryNumber;QueryText
00027;['CONCORD', 'CLINIC', 'BIOCHEM', 'MANIFEST', 'SIBL', 'PAIR']
00028;['INCID', 'FERTIL']
00029;['PATHOLOG', 'REPRODUCT', 'SYSTEM', 'FEMAL']
00030;['RESULT', 'GENET', 'COUNSEL', 'FAMILI', 'CHILDREN']
00031;['MAJOR', 'PSYCHOLOG', 'SOCIAL', 'EFFECT', 'FAMILI']
00032;['FACTOR', 'INFLUENC', 'COMPLIANC', 'PRESCRIB', 'THERAPI']
00033;['CONDIT', 'FACTOR', 'ERRON', 'SWEAT', 'TEST']
00034;['ALTERN', 'TECHNIQU', 'CLASSIC', 'GIBSON', 'COOK', 'QUANTIT', 'PILOCARPIN', 'IONTOPHORESI', 'TITRIMETR', 'ANALYSI', 'CHLORID', 'AVAIL', 'SWEAT', 'TEST', 'REL', 'ADVANTAG', 'DISADVANTAG']
00035;['FOUND', 'CONSIST', 'NORMAL', 'SWEAT', 'TEST']
00036;['CONCENTR', 'POTASSIUM', 'SWEAT']
00037;['TECHNIQU', 'AVAIL', 'SCREEN', 'NEWBORN', 'INFANT', 'FACTOR', 'CONTRIBUT', 'ERRON', 'RESULT', 'TEST']
00038;['DIAGNOS', 'PRENAT']
00039;['HETEROZYGOT', 'IDENTIFI']
00040;['SWEAT', 'TECHNIQU', 'USE', 'BEYOND', 'NEONAT', 'PERIOD', 'DIAGNOSI']
00041;['VITAMIN', 'METABOL', 'NORMAL']
00042;['ABNORM', 'INSULIN', 'SECRET', 'INSULIN', 'METABOL', 'OCCUR']
00043;['SODIUM', 'CHLORID', 'TRANSPORT', 'PERMEABL', 'ABNORM']
00044;['STRUCTUR', 'ENZYMAT', 'DIFFER', 'FIBROBLAST']
00045;['ABNORM', 'PROSTAGLANDIN', 'METABOL', 'DESCRIB']
00046;['PROPERTI', 'ACTIV', 'GALACTOSYLTRANSFERAS', 'ENZYM']
00047;['DIFFER', 'NORMAL', 'SUBJECT', 'DESCRIB', 'FUNCTION', 'METABOL', 'HORMON']
00048;['FIBROBLAST', 'NORMAL']
00049;['METHYL', 'POLYAMIN', 'METABOL', 'NORMAL']
00050;['DEFECT', 'SYNTHESI', 'METABOL', 'CYCLIC', 'NUCLEOTID', 'DESCRIB']
00051;['CIRCUL', 'SECRET', 'FACTOR', 'DESCRIB', 'FACTOR', 'UNIDENTIFI', 'BIOLOG', 'ACTIV', 'MOLECUL', 'THOUGHT', 'PATHOGENET', 'CYSTIC', 'FIBROSI']
00052;['KNOWN', 'PROLACTIN']
00053;['SECRETORI', 'PROTECT', 'BACTERI', 'COLON', 'INFECT']
00054;['RELATIONSHIP', 'ALLERGI', 'HYPERSENSIT', 'DISEAS']
00055;['INTERACT', 'PROTEAS', 'ENDOGEN', 'BACTERI', 'ORIGIN', 'ANTIPROTEAS', 'LUNG']
00056;['RELATIONSHIP', 'NUTRIT', 'PULMONARI', 'DEFENS', 'BACTERI', 'INFECT']
00057;['PATHOPHYSIOLOG', 'CIRCUL', 'ANTIBODI', 'PSEUDOMONA', 'AERUGINOSA']
00058;['IMMUNOLOG', 'RESPONS', 'PULMONARI', 'INFECT']
00059;['IMMUNOLOG', 'ABNORM', 'FOUND']
00060;['EFFECT', 'PULMONARI', 'CIRCUL']
00061;['DEFECT', 'MUCOCILIARI', 'TRANSPORT', 'CLEARANC', 'RESPIRATORI', 'TRACT']
00062;['CLINIC', 'FEATUR', 'DISEAS']
00063;['BIOCHEM', 'MICROSCOP', 'CHARACTERIST', 'AIRWAY', 'INFLAMM']
00064;['FUNCTION', 'CHANG', 'PERIOD', 'GREATER']
00065;['ABNORM', 'PULMONARI', 'FUNCTION']
00066;['PATHOLOG', 'FEATUR', 'DISEAS']
00067;['PROGNOSI', 'EPISOD', 'RESPIRATORI', 'FAILUR']
00068;['EFFECT', 'BRONCHODIL']
00069;['TREAT', 'PNEUMOTHORAX']
00070;['TREATMENT', 'PROGNOSI', 'HEMOPTYSI']
00071;['PROGNOSI', 'INFANT', 'WHEEZ', 'CYSTIC', 'FIBROSI']
00072;['TREATMENT', 'NASAL', 'POLYP']
00073;['EFFECT', 'BRONCHIAL', 'LAVAG']
00074;['RESULT', 'MECHAN', 'VENTIL', 'RESPIRATORI', 'FAILUR']
00075;['TREATMENT', 'PULMONARI', 'HYPERTENS', 'PULMONAL']
00076;['EFFECT', 'EXERCIS', 'TRAIN', 'PROGRAM', 'FUNCTION']
00077;['TECHNIQU', 'EFFECT', 'PROMOT', 'CLEARANC', 'MUCU', 'LUNG']
00078;['SPECIAL', 'CONSIDER', 'TREATMENT', 'ANTIBIOT', 'PHARMACODYNAM', 'ANTIBIOT', 'DIFFER', 'SPECIAL', 'PROBLEM', 'PECULIAR']
00079;['ORAL', 'ADMINIST', 'ANTIBIOT', 'TREATMENT']
00080;['EVID', 'COMBIN', 'THERAPI', 'AMINOGLYCOSID', 'SEMISYNTHET', 'PENICILLIN', 'EFFECT', 'THERAPI', 'EITHER', 'ALON']
00081;['EFFECT', 'INHAL', 'MUCOLYT', 'AGENT', 'TREATMENT']
00082;['AEROSOL', 'TREATMENT', 'DISEAS']
00083;['BACTERI', 'PHAGOCYTOSI', 'ALVEOLAR', 'MACROPHAG', 'POLYMORPHONUCLEAR', 'LEUKOCYT', 'DISEAS']
00084;['RELATIONSHIP', 'HAEMOPHILU', 'INFLUENZA', 'PSEUDOMONA', 'AERUGINOSA']
00085;['DEVELOP', 'INFECT', 'ORGAN', 'ORGAN']
00086;['BACTERIA', 'PSEUDOMONA', 'AERUGINOSA', 'STAPHYLOCOCCU', 'AUREU', 'HAEMOPHILU', 'INFLUENZA', 'PATHOGENESI', 'DISEAS']
00087;['FUNGI', 'PATHOGENESI', 'DISEAS']
00088;['VIRAL', 'INFECT', 'DISEAS']
00089;['EPIDEMIOLOG', 'PSEUDOMONA', 'AERUGINOSA', 'SPECIF', 'SPREAD', 'PSEUDOMONA', 'AERUGINOSA', 'INDIVIDU', 'FAMILI']
00090;['FACTOR', 'RESPONS', 'APPEAR', 'MUCOID', 'STRAIN', 'PSEUDOMONA', 'AERUGINOSA']
00091;['UNUSU', 'MANIFEST', 'DISEAS', 'EXOCRIN', 'PANCREAT', 'INSUFFICI']
00092;['PROGNOSI', 'SURVIV']
00094;['ANIM', 'MODEL', 'AVAIL', 'RELEV']
00095;['ABNORM', 'SKELET', 'MUSCL', 'FUNCTION', 'STRUCTUR', 'FOUND']
00096;['INCREAS', 'INCID', 'DENTAL', 'PROBLEM', 'CARI', 'PERIODONT', 'DISEAS']
00097;['OXYGEN', 'TRANSPORT', 'BLOOD', 'CELL', 'ABNORM']
00098;['EFFECT', 'DEVELOP', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOU', 'SYSTEM']
00099;['ABNORM', 'TAST']
00100;['INCID', 'TREATMENT', 'HYPERTROPH', 'OSTEOARTHROPATHI']
